Number,Questions,Reasoning,Numerical Answer (If available),Nearest Power of ten
19,"How long, in Planck time, would it take to move across the length of the universe at the speed of light?","8.8e26 m universe diameter (https://en.wikipedia.org/wiki/Observable_universe)
3e8 speed of light
8.8e26 m * 1 sec/3e8 m * 1 Planck time/5.391e-44 sec = 5.44e61",5.44E+61,61
20,How many centuries would it take for Usain Bolt to run a light-second while running at his 100m world record pace?,"9.58 sec for 100m sprint (https://en.wikipedia.org/wiki/Usain_Bolt)
3e8 m * 9.58 sec/100 m * 1 century/3.154e9 sec = 9.11e-3",9.11E-03,-2
21,"If everyone in the world were to stand side-by-side (shoulder to shoulder with no gaps) to form a circle, what would be the diameter of the circle, in human hairs?","75 um human hair (https://en.wikipedia.org/wiki/Hair%27s_breadth)
8.07e9 human population (https://www.worldometers.info/world-population/)
15 in shoulder width (average of male and female) = 0.381 m
https://criticalbody.com/average-shoulder-width/
8.07e9 * 0.381 m = 3.07e9 m circumference of human circle
C = 2*pi*r ? 2r = C/pi.
3.07e9 / pi = 9.78e8 m diameter of human circle
9.78e8 / 75e-9 = 1.3e16",1.30E+16,16
22,How many leagues under the sea is the center of the Earth?,"6371 km radius of Earth (https://en.wikipedia.org/wiki/Earth_radius)
6371 km * 1 league/4.8 km = 1.327e3",1.33E+03,3
23,"How heavy is the combined weight of the UGA football team, in cricket balls?","232 lb avg weight
https://www.ncaa.com/news/football/article/2017-11-07/how-big-average-college-football-player-breaking-down-size
~100 players on UGA roster probably (125 is cap)
https://payperhead.com/ncaa-football-player-rosters/
Sort of sus source, but that number sounds about right
160 g (https://www.cric-life.com/article/what-is-the-weight-of-a-cricket-ball/)
100 * 232 lb * 453 g/1lb * 1 cricket ball/160g = 6.57e4",6.57E+04,5
24,How many houseflies’ worth of lift would you need to lift a school bus?,"10 mg of lift from a fly
https://washingtoncitypaper.com/article/208540/straight-dope-how-many-houseflies-would-you-need-to-lift/
I know it’s a random website, so not a great source, but it seemed reasonable
1.5-2e4 lbs school bus
https://measuringstuff.com/how-heavy-is-a-school-bus-empty-and-full/
Also rando website
2e4 lb * 453592 mg/lb * 1 fly/10 mg = 9.07e8",9.07E+08,9
25,"How much paraffin wax, in oz, would be needed to power a hot air balloon for a week (ignore the energy needed to carry the weight of the wax itself)?","1 week = 604800 sec
30 gal LPG/hour of flight
https://outdoortroop.com/how-much-fuel-does-a-hot-air-balloon-use/
Rando website
0.55 g/mL density of LPG
https://www.nrl.co.in/upload/nrlLPG-Specifications.pdf
46 MJ/kg for candles. 49.3 MJ/kg
https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
604800 sec* 30 gal LPG/3600 sec * 3785 mL/1 gal * 0.55 g/mL LPG * 49.3 MJ / 1e3 g LPG * 1 kg/46 MJ paraffin * 35 oz/kg = 3.94e5",3.94E+05,5
1,"How many cans of Campbell’s chicken noodle soup will it take to fill up an
Olympic-sized swimming pool?",,,7
2,"Consider the label of standard soup can. How many labels laid in a line would it
take to circumnavigate the equator? (Assuming the labels float on top of the oceans)",,,8
3,"Soup cans are made of tin-coated steel. How many cans would need to be melted
to form a 1-by-1-by-1 meter solid cube?",,,5
4,"Chinese bird drop soup is made from a species called the edible-nest swiftlet
(Aerodramus fuciphagus). How many of these birds are there in Asia?",,,5
5,How much sodium (in mg) is in a 24-pack of Maruchan chicken ramen?,,,4
6,How many units (cans) of soup are sold each year in the United States?,,,12
7,"Consider placing soup cans upright in a hexagonal region from a bird’s eye view.
How many can fit in a regular hexagonal region with side lengths of 1 mile?",,,9
8,"How many milliliters of water would need to be boiled to cook enough ramen cups
to feed each and every college student in the U.S.? Each ramen cup should be filled to the brim
with water and each college student eats 1 package.",,,11
9,"How much gross profit, in USD, has the Campbell’s soup company made since
2000?",,,10
10,"Consider throwing a soup can using a cannon with an angle of elevation of 30
degrees. Considering the earth as flat, at what velocity (in meters per second) is it necessary to
launch the soup from New York City to Philadelphia?",,,3
11,"Eric has a collection of 2023 different types of soup. If he tries a different type
of soup each day uniformly at random, how many days would you expect it to take for him to
finish trying every type of soup?",,,4
12,"You travel in a can-shaped spaceship from earth to Soup Galaxy, which is 7
light years away from earth. You move at approximately 40 percent of the speed of light. Upon
arrival, what will the difference in time, in hours, between your clock and a clock back on earth?",,,3
13,How many cans of soup do you need to stack to reach the moon?,,,9
14,"A soup can finishes a marathon by rolling straight ahead. How many rotations
has the soup can completed?",,,7
15,"A ladle is a wonderful device for serving soup. Suppose you wanted to serve the
ocean; how many scoops would it take to empty the ocean?",,,22
16,"Andrew, a notable soup scholar, decides to write a definitive guide to the history
of soup. He ends up with a text with about as many words as the Bible. To save on printing
costs, he prints in Times News Roman, with size 1 font and double spaced. How many pages
does he need to print for one copy of his book?",,,1
17,"An empty can of soup is filled with ice and placed outside on a table. Assuming
uniform, constant heat from the summer heat, how many seconds would it take for the cylindrical
block of ice to completely dissolve.",,,2
18,"Penn has instituted a special secret award called the soup scholarship in 2000.
Each year, 5 percent of the incoming freshmen class is selected to be a recipient. How many
soup scholarships have been awarded up until the end of 2024?",,,3
19,"There are many fish, pork, chicken, and beef-based soups leading to so many
unique flavours! If we distinguish the animals up to species, how many soup flavours can we
generate if each flavour is a combination of two species?",,,15
20,"The average U.S. frieght train is 6,500 feet long. How many cans of soup can be
packed into this frieght train?",,,6
21,"Eric consumes one can of soup each time he cuts his hair. Over the course of
100 lifetimes, how many cans will he consume?",,,4
22,"Soup is chemistry. How many compounds are found on pubchem (a chemical
information database)?",,,6
23,"Soup is served in cafeterias across Penn’s campus every day. How much money
is spent on the Dining at Penn department each year?",,,7
24,"If I harnessed the energy consumed when every Google employee googles “google”
simultaneously, how long could I power a standard hair dryer?",,,1
25,"If the Earth, by mass, was comprised entirely of solid silver, what would the
acceleration due to gravity be, in m/(s^2)?",,,1
26,"If I melted the earth down (from Question above) and sold it, how much money,
in Japanese Yen, could I make?",,,30
27,"How many packages of party sized Lay’s Sour Cream and Onion Potato Chips
would I need to consume in order to equal the amount of Calories burned by a 200 lb man
during an ironman triathlon?",,,0
28,"If, for every time someone streamed “Cruel Summer” by Taylor Swift on Spotify,
Taylor Swift adds an extra floor to the Empire State Building, how tall would the Empire State
Building be, in meters?",,,10
29,"If I randomly drop a pebble over the United States, what is the probability that
my pebble hits a Tesla?",,,-6
30,"How many fortnights would it take for me to run a marathon, assuming that I
run at a pace of 5 smoots/shake?",,,-10
31,"What is the minimum number of cans of SphagettiOs alphabet soup would I
need to reconstruct the book Harry Potter and the Sorcerer’s Stone?",,,3
32,"How heavy, in kg, would the newest Macbook M2 Pro be if I replaced every
single transistor with a can of Campbell’s Chicken Soup?",,,9
33,What is the 200th fibonacci number?,,,41
34,How many digits does 13^123456789 have?,,,8
35,How many primes are there less than 10000?,,,2
36,How many gas stations are there in the US?,,,5
37,"If the sun and earth both double in size, how long will it take for the earth to
go around the sun?",,,0
38,"Suppose on the day Jesus was born I got a dollar. Exactly one year later, I got
2 dollars. Every year thereafter I receive twice as much as the year before. I am immortal and
quite a hoarder so I don’t spend any money. How much do I have in 2023?",,,609
39,"Eric claims that he doesn’t need any meteorology to predict the weather. Darren
challenges him with the following game. Darren starts by paying Eric 10^10 dollars, and Eric is
to make make daily predictions about whether or not it will rain the following day. Eric is to
do this for an entire year, after which Darren will calculate the difference between how many
times it rained and how many times Eric said it would rain. We call this difference x, and then
Eric must pay Darren x^10 dollars. If Eric plays optimally, what is the maximum amount he can
guarantee that he earns (or if he loses money - what is the minimum amount he can lose) at the
conclusion of the game?",,,10
40,"If the world was scaled down so that the Earth was the size of a standard soccer
ball, what would be the volume of Jupiter in liters?",,,5
41,"If every person in Madagascar simultaneously ate a bagel, how much heavier, in
grams, would Madagascar’s population be?",,,9
42,"What is the combined weight, in kg, of every elephant in the world?",,,8
43,"Suppose a clock tells the right time exactly 100 times a day. If this clock is used
to time an olympic 100m sprint, approximately how fast, in seconds, will the runners be?",,,-1
44,"In Newtons, how many flicks worth force will it take to break someone’s arm?",,,1
45,"Suppose that all the DNA from each cell in a human was stretched out and
placed in a single row. How many gallons of gas would it take a 2023 Toyota Prius to drive the
distance equal to all of that stretched out DNA?",,,8
46,"Niagara falls is an absolutely iconic waterfall. That being said, what is the
volumetric flow rate of Niagara Falls in Sverdrups during high season?",,,-3
47,How many hydrogen atoms are contained within the water in Lake Superior?,,,38
48,"How long would it take, in days, for me to drain all of the Oceans on Earth if I
solely drank the recommended amount of water each day from the oceans?",,,20
49,"What is the maximum acceptable latency (delay) for international calls as spec-
ified by the International Telecoms Union, in quectoseconds?",,,29
50,"What would the radius, in meters, of a sphere of solid cheddar cheese need to
be before it collapsed into a black hole?",,,11
51,"How many oxygen molecules would be inhaled if every single person alive on
Earth took a collective breath?",,,31
52,A 1 Joule is equivalent to 1 kg ? m^2 ? s^?1. What is the value of 1 Joule in the units of (troy ounce) * (furlong^2) * (microseconds)^?1?,,,-8
1,How many pounds of water is released into the atmosphere annually by grapes drying into raisins worldwide?,"~1.3million metric tons of raisins produced per year. Grapes have 80% water, raisins have 15% water. Thus 1 metric ton of raisins contains 0.85 metric tons of pulp. Pulp is 20% of grapes, so 1 metric ton of raisins comes from 5*0.85=4.25 metric tons of grapes. A metric ton of raisins represents a loss of 4.25-1=3.25 metric tons of water. 3.25*1.3=4.225 million metric tons of water lost, which is 4.225 billion kilograms of water lost. This is 9.3 billion pounds",9.3 billion,10
2,How long in seconds would it take to travel Route 1 at a garden snail's pace? (Note: Route 1 is about ? the length of the longest route in the US and garden snails are surprisingly fast.),"0.03 mph is garden snail pace. Route 1 is  2,369 miles.
2,369 miles / 0.03 mph * (3600 seconds/hour) = 2.8e8",2.80E+08,8
3,The popular trick-shot YouTube channel Dude Perfect attempts their craziest one yet: they are going to place a dartboard at a uniformly random location on the moon and then shoot a dart at a uniformly random location on the moon from orbit. They will attempt this once every minute. What is the expected number of times the Moon will go around the Earth before they succeed in their trickshot?,Dartboard surface area is 0.159 square meters. Moon surface area is 3.8 e13 square meters. It will take them 2.4e14 expected attempts ? 2.4e14 minutes= 6.2e9 27-day cycles.,6.20E+09,10
4,How many VHS copies of the movie Titanic could fit in the original RMS Titanic ship?,"The original ship has volume 130,000 cubic meters. VHS tape has volume approx 4.8e-4 cubic meters ? 2.7e8",2.70E+08,8
5,How many “Xs” (Tweets) were on X (Twitter) in 2023?,"Slightly vague, correct interpretation is “how many total tweets existed on the platform as of 2023.”
~200 billion per year",200 billion,12
6,What is the ratio of the energy of one photon of violet wavelength to the (magnitude of) energy of an electron at the first energy level in a hydrogen atom ?,"Energy of one violet photon: (3e8/380e-9) * 6.626e-34  = 5.2e-19
Energy of electron at first energy level: 13.6eV = 2.17e-17 J
5.2e-19/2.17e-17 = 2.4e-2",2.40E-02,-2
7,"With standard ASCII character encoding, how many bits would the text of all the Harry Potter books occupy?","Conservative estimate of just text, no formatting or overhead:
1.1e6 words across all books, average length of word + space is 5.7, each character is one byte. 1.1e6 * 5.7 * 8 = 5e7",5.00E+07,8
8,How many liters of ocean water would you have to boil to end up with a ton of salt?,"35 grams salt per liter of ocean water, need 1 ton ? 907,000 grams of salt ? 25,900 liters of ocean water",2.59E+04,4
9,How many living Princeton Alumni are there?,"~Approximately 100,000.",1.00E+05,5
10,Bob hates Valentine's Day. He is arranging the seating for a round table of 7 couples for a Valentine’s Day gathering. How many arrangements are there such that no couples are sitting next to each other?,"Sneaky way of mainly testing 14! if you realize that the number of arrangements is not a very small fraction (the limit is 1/e of total number, so we will use that to approximate).

# of arrangements <= 14! * e^(-1) = 3.2e10",3.20E+10,10
11,What is the weight of LEGO bricks sold every year in units of average African Elephants?,7e10 elements * 2.5g/element* 1 ton / 9e5 grams * elephant/ 6 tons = 3e4,3.00E+04,4
12,"In the time it takes for a ball to fall (from rest) from the height of the peak of Mount Everest straight down to sea level, how many blinks occur worldwide?","Blinks happen 15 times per minute per person, so worldwide there are 118.3 billion blinks per minute. Mount Everest is 8,848 meters tall. It would take a ball sqrt(2y/g)=42.49 seconds to fall, which is 0.708 min ->83.8 billion blinks",83.8 billion,11
13,How many Lincoln pennies have been minted since the turn of the millennium?,Total mintage numbers from wikipedia for the past 23 years add to approx. 150 billion,150 billion,11
14,How many seconds would it take for your heart to pump a volume of blood equivalent to that of an olympic sized pool?,2.5e6 Liters / (80e-3 L/ beat * 70 beat/ 60 sec)  = 2.6e7,2.60E+07,7
15,"If Dovak Njokovic has a 25% chance of winning any tennis match, what is the probability he gets a calendar year Grand Slam?  A calendar year Grand Slam is equivalent to winning four 128-entrance single elimination bracket tournaments in a row.","Meant to test 2^x estimation in a word problem. Seemed to disguise the problem more than intended.
0.25^(7 * 4) = 2^(-56)
Log 2 * -56 = 0.3 * -56 = -17",1.00E-17,-17
16,"If all the energy produced by the world’s wind turbines in the year 2022 was stored on a standard 10 microFarad capacitor, what would the voltage (in Volts) be between the two ends of the capacitor?","Energy is 1/2CV^2. 2100 terawatthours produced in 2022 by wind turbines ? 7.6e18 joules. CV^2 = 1.5e19, V^2=1.5e24? V=1.2e12 volts",1.20E+12,12
17,It’s National Golden Retriever Day! How many golden retriever paws are in the world?,"There are estimated to be greater than 12.5 million golden retrievers in the world 8
125 million golden retrievers is unrealistic given there are 600 to 900 million dogs in the world.",1.00E+08,8
18,How many days would it take for McDonalds to sell a mole of hamburger assuming they continue to sell at the same rate as today?,6e23 hamburgers/(6e6 hamburgers per day) = 1e17,1.00E+17,17
19,How many cows would I need to produce enough milk in a year to fill a hollow container the size of the earth?,"Size of earth 4/3 * pi * (6e6)^3 = 1e21m^3
Milk per cow-year 7 gallons/day * 365 day/year = 2.5e3 gallons/year = 9.5 m^3/year
1e21m^3/ (1e1 m^3/year) = 1e20",1.00E+20,20
20,"In 2021, world-famous eater Joey Chestnut ate 76 hotdogs in 10 minutes. How many ounces of chestnuts would he need to eat per second for 10 minutes to match the total number of calories consumed?","76 hotdogs, 314 calories each ? 23,864 calories. One ounce of chestnuts has 37 cal, need 640 ounces of them ?1.06 ounces of chestnuts per second for 10 minutes",1.06E+00,0
21,How many Fermi Questions will be written for tournaments in the 2023-2024 Science Olympiad Season?,~250 Division C tournaments. Much greater than 20 questions on average per test.,1.00E+04,4
22,How many Joules would you need to power a light-year long string of Christmas lights for an hour?,"Assume 6” spacing.
4e-1 watt-hour/bulb * 1e16 m * 6.5 bulb/meter * 3.6e3 Joules/ watt-hour = 9.36e19",9.36E+19,20
23,How many days would it take Usain Bolt to run along every length of rail track in the US railroad system without repeating any segments at his 2008 Olympic pace?,"160,000 miles of railroad track in the US, Bolt ran 23.08mph ->6932 hours-> 288.83 days",2.89E+02,2
24,"Given it takes 80 soldier crabs to store a bit using a flip-flop, how many soldier crabs does it take to make a 64-bit carry ripple adder?","80 soldier grabs per logic gate: 5 to 7 gates per adder (depends on if you count XOR as 1 or 2) 
Upperbound is 7 * 64 * 80 = 3.6e4 crabs",3.60E+04,4
25,How many steps does the population of America take per day?,"Number of steps on average = 3000 to 4000 per day
Population of America is 3.5e8.
3.5e8 * 3e3 = 1e12",1.00E+12,12
26,How many popular votes separated Thomas Jefferson and John Adams in the 1796 Presidential Election?," 4,611"," 4,611",3
27,What fraction of the GDP of Japan is the biggest price a Pokemon card has sold for?,"GDP of Japan is 4.9e12 dollars
Illustrator Pikachu ~ 5e6 dollars
5e6/4.9e12 = 1e-6",1.00E-06,-6
28,How many days would it take to type out every possible ordered combination of 6 or fewer lowercase letters of the English alphabet (with no spaces between) at a rate of 10-8 (10^-8) characters per nanosecond?,"26^6 dominates number of combos, 1e-8 letters per nanosecond / 6 letters per word =1.67e-9 words per nanosecond=1.67 words per second = 100 WPM, *1440 = 144,000 words per day ? 2140 days",2.14E+03,3
29,What velocity in meters per second do you need to launch an angry bird on the surface of the sun for it to leave orbit? ,sqrt(2GM/r) = sqrt((2*6.7e-11*2e30)/(7e8)) = 6e5,6.00E+05,6
30,"How many treadmill belts, cut open and laid end to end, would it take to connect the distance between the two farthest apart Planet Fitness locations in the contiguous US?","2,892 miles linearly between farthest cities in contiguous US, PF locations are near these places so close enough, a treadmill belt is roughly 120 inches long ? 2,892 miles/120 inches is 1.53e6",1.53E+06,6
31,What is the weight of the inner core of the earth in cars?,1.1e26 grams /  4000 lbs =  6e19,6.00E+19,20
32,How many liters of room-temperature Dr. Pepper could be carbonated with the world's CO2 emissions during 2022?,"36.8 gigatonnes of co2 ? 3.68e13 kg of co2 ? at room temp, 2kg/metercubed ? 1.84e13 cubic meters of co2 ? 1.84e16 liters of co2. Ratio is 3.5 liters of CO2 per liter of beverage, so total is 0.526e16=5.26e15 liters of soda!",5.26E+15,16
33,"On average, how many times more likely is someone to die going skydiving compared to winning the powerball?","0.5-1 in 1e5 chance to die going skydiving
 1 in  2.9e8 chance to win powerball
(1e-5) * 2.9e8 = 2.9e3",2.90E+03,3
34,"At Princeton, an undergraduate student is allocated 2700 sheets of printing paper per a year while a graduate student is allocated 3600 sheets of printing paper per a year. If all enrolled students used all of their allocated printing paper (news flash: they don’t), how tall, in inches, would a pine tree of 24 in diameter need to be to supply all this paper?","In 2023, 5,604 enrolled undergraduate students, 3238 enrolled graduate students.
5604 * 2700 + 3238 * 3600 = 2.7e7 pieces of paper
Density of pine wood ~ 2e-2 lb/in^3, yield between 25% to 50%
100 sheets/lb
Lower Bound: Height * pi * (12 in)^2 * 2e-2 lb/in^3 * 0.5 * 100 sheets/lb = 2.7e7 sheets
Height = 6e4",6.00E+04,5
35,"The original Rosetta Stone was a rather inefficient way to store information, in terms of words per kilogram. How many times more efficient is a hardcover copy of the first Diary of a Wimpy Kid book? (The original Rosetta Stone communicated the same message three times in three different languages, but consider the total words on it to be just the number of words in the English translation of the original (unrepeated) message)","~1600 words in OG message, rosetta stone weighs 760kg ? 2.11 words/kg
Diary of a wimpy kid 0.391 kg, has 19,800 words ? 50639 words/kg ? 24,000 times more efficient",2.40E+04,4
36,How many kilograms would all the eyeglasses lenses worn by Americans weigh?,"Glasses weigh 25-50g, frame weighs 5-10g, estimate lenses weigh 20 grams based on sources. ~150 million americans wear glasses, so 150 million * 20 grams = 3 billion grams -> 3 million kgs",3 million,6
37,How many adult bed bugs would you need to stack vertically (single file) to reach the height above sea level of the tallest active volcano in the world?,"~Bedbug size 0.5 mm (on average mixing fed vs. not fed)
Mauna Loa in Hawaii height is about 4,170 m
4.1e3 m / 5e-4 m = 8e6",8.00E+06,7
38,"How many dodecominos are there? 
Note: A dodecomino is made up of 12 unit squares connected edge to edge, while a tetromino, from Tetris, has 4 unit squares connected edge to edge. Rotations are considered equivalent pieces.","126,759 possible dodecominos when considering rotations equivalent (via wikipedia). 5


Suggestion for estimating would be estimating an average x in x^12, or an average y in 5 * y^(12 - 4) (if  you know there are 5 tetrominoes).",1.27E+05,5
39,"If you took all the energy released when a slug of sodium reacts with chlorine gas to launch all the salt produced from the reaction straight up (on earth), what height, in meters, above the ground would it reach?","mgh = 4.1e6 J.mol * 1 mol/0.058kg * m
h = 7e6 m 7
Mass cancels out! Do not need to know what a slug is.",7.00E+06,7
40,The electrostatic force between a proton and an electron 1 Angstrom apart is what fraction of the force needed to frictionlessly accelerate a neutron at a rate of 1 septillion meters per second squared?,"That electrostatic force is 2.3e-8 newtons. f=ma, mass of neutron is 1.67e-27kg, times 1 septillion is 1e24 so you need 1.67e-3 newtons. Fraction is 2.3e-8/1.67e-3=1.38e-5",1.38E-05,-5
41,"Over the course of a fortnight, a hundredth of a furlong of rain falls over a 3-hectare area. How many slugs of water fell per minute on average?","Hundredth of a furlong times 3 hectares is 60,330 cubic meters. This much water would weigh 60.3 million kg, which is 4.13 million slugs over the course of a fortnight, which is 20160 minutes. Thus, per minute, 204 slugs of water fell",2.04E+02,2
42,"Suppose you warm up your shoulder and throw a bowling ball at 0.995 times the speed of  light down a bowling lane. In the frame of reference of the bowling ball, how many nanoseconds will elapse before it contacts the pins?","Bowling lane is 18.29 meters long. Ball is moving at 298,293,496 meters per second. Time is dilated for the ball, factor is 1/sqrt(1-0.995^2) which is 10.01. Thus, it takes 10.01*18.29/298,293,496 -> 6.137e-7, 600 nanoseconds",6.00E+02,3
43,"If you covered the floor of the entire Flatiron Building with quarters, what would be the total value of the quarters in USD?","Flatiron building is 255,000 square feet, circle packing is ~0.90. Quarter is 0.716 square inches. Flatiron building is 36.7 million sq inches, times circle packing is 33.0 million sq inches, so you could fit 46.1 million quarters. Total value ~10 million",10 million,7
44,How many nanoseconds elapsed between the first tumbler (event in the Olympic Games) and the first Tumblr (account)?,"1932 to 2007 ~27,000 days ? 2.3e9 seconds -> 2.3e18 nanoseconds",2.30E+18,18
45,"Although friends often joke that they share one brain cell, what fraction of the cells in an average adult are actually brain cells (specifically neurons)?",1.0e11 brain cells / 3.3e13 human cells =  3e-3,3.00E-03,-3
